Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","192","Cuba","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2018","2018","g/cap/d","2.38","E","Estimated value",""
"FBS","Food Balances (2010-)","192","Cuba","681","Fat supply quantity (t)","S2511","Wheat and products","2018","2018","t","9741.04","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5611","Import quantity","S2511","Wheat and products","2019","2019","1000 t","772","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5072","Stock Variation","S2511","Wheat and products","2019","2019","1000 t","5","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5911","Export quantity","S2511","Wheat and products","2019","2019","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5301","Domestic supply quantity","S2511","Wheat and products","2019","2019","1000 t","767","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5521","Feed","S2511","Wheat and products","2019","2019","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5527","Seed","S2511","Wheat and products","2019","2019","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5123","Losses","S2511","Wheat and products","2019","2019","1000 t","36","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5154","Other uses (non-food)","S2511","Wheat and products","2019","2019","1000 t","1","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","192","Cuba","5171","Tourist consumption","S2511","Wheat and products","2019","2019","1000 t","6","I","Value imputed by a receiving agency",""
